id,domain,webURL,numViolations,violationnumberID,initialImpactScore,Description,LongDescription,AffectedHTMLElement(s),domain_alias,updated_Description,scrape_status,html_filepath,prompts_baseline_two,responses_baseline_two
2251243946,Educational Platforms,https://campus.uni-stuttgart.de/,3,aria-hidden-focus,4,Ensures aria-hidden elements do not contain focusable elements,https://dequeuniversity.com/rules/axe/4.4/aria-hidden-focus?application=axeAPI,"<div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>, <div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/2251243946.txt,"You are operating on this website: https://campus.uni-stuttgart.de/
        Error: aria-hidden-focus
        Description: Ensures aria-hidden elements do not contain focusable elements
        Suggested change: ARIA hidden element must not be focusable or contain focusable elements
        Incorrect: <div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>, <div tabindex=""0"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>
        ","Thought: because ARIA hidden elements must not be focusable or contain focusable elements, we should ensure that the elements in the provided code snippet do not contain focusable elements, and their tabindex should be set to -1.
                Correct: <div tabindex=""-1"" class=""cdk-visually-hidden cdk-focus-trap-anchor"" aria-hidden=""true""></div>, <div tabindex=""-1"" class=""cdk-visually-hidden cdk-focus-trap-anchor
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements
ARIA hidden
ARIA hidden element must not be focusable or contain focusable elements"
2251243946,Educational Platforms,https://campus.uni-stuttgart.de/,3,duplicate-id-active,4,Ensures every id attribute value of active elements is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id-active?application=axeAPI,"<button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-de-button"" tabindex=""0"" aria-pressed=""false"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> DE </span></button>, <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-en-button"" tabindex=""0"" aria-pressed=""true"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> EN </span></button>",edu,"Duplicate active IDs are common validation errors that can break the accessibility of labels for focusable elements, forms, table header cells, etc.",scraped,data/raw_html/2251243946.txt,"You are operating on this website: https://campus.uni-stuttgart.de/
        Error: duplicate-id-active
        Description: Ensures every id attribute value of active elements is unique
        Suggested change: IDs of active elements must be unique
        Incorrect: <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-de-button"" tabindex=""0"" aria-pressed=""false"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> DE </span></button>, <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-en-button"" tabindex=""0"" aria-pressed=""true"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> EN </span></button>
        ","Incorrect: <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-de-button"" tabindex=""0"" aria-pressed=""false"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> DE </span></button>, <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-en-button"" tabindex=""0"" aria-pressed=""true"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> EN </span></button>
                Thought: To fix the duplicate ID active element error, we need to assign unique IDs to each active element.
                Correct: <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-de-button"" tabindex=""0"" aria-pressed=""false"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> DE </span></button>, <button type=""button"" class=""mat-button-toggle-button mat-focus-indicator"" id=""language-button-en-button"" tabindex=""0"" aria-pressed=""true"" name=""mat-button-toggle-group-0""><span class=""mat-button-toggle-label-content""> EN </span></button>"
2251243946,Educational Platforms,https://campus.uni-stuttgart.de/,3,duplicate-id,2,Ensures every id attribute value is unique,https://dequeuniversity.com/rules/axe/4.4/duplicate-id?application=axeAPI,"<mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-de"" style="""">, <mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-checked mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-en"" style="""">",edu,"Duplicate IDs are common validation errors that may break the accessibility of labels, e.g., form fields, table header cells.",scraped,data/raw_html/2251243946.txt,"You are operating on this website: https://campus.uni-stuttgart.de/
        Error: duplicate-id
        Description: Ensures every id attribute value is unique
        Suggested change: id attribute value must be unique
        Incorrect: <mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-de"" style="""">, <mat-button-toggle _ngcontent-ng-c1191070516="""" role=""presentation"" class=""mat-button-toggle ca-lang-switcher-toggle mat-button-toggle-checked mat-button-toggle-appearance-standard ng-star-inserted"" id=""language-button-en"" style="""">
        ","Incorrect: [['<span>Search</span>']]
        Thought: because the id attribute values of ""language-button-de"" and ""language-button-en"" are not unique, I will change the id attribute value for ""language-button-de"" to ""de-language"" and ""language-button-en"" to ""en-language"".
        Correct: [['<span class=""DocSearch-Button-Placeholder"">Search</span>']], [['<span class=""DocSearch-Button-Placeholder"">Search</span>'], id = 'de-language'], [['<span class=""DocSearch-Button-Placeholder"">Search</span>'], id = 'en-language']"
8846585774,Educational Platforms,https://els-egypt.net/,3,button-name,5,Ensures buttons have discernible text,https://dequeuniversity.com/rules/axe/4.4/button-name?application=axeAPI,"<button class=""app-header__action-button app-header__action-button--open-search"" type=""button"" arial-label=""search"" aria-controls=""search-form"" accesskey=""s"">",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",not_scraped,data/raw_html/8846585774.txt,"You are operating on this website: https://els-egypt.net/
        Error: button-name
        Description: Ensures buttons have discernible text
        Suggested change: Buttons must have discernible text
        Incorrect: <button class=""app-header__action-button app-header__action-button--open-search"" type=""button"" arial-label=""search"" aria-controls=""search-form"" accesskey=""s"">
        ","I understand. In this case, the button-name should be ""Search"" and it should be clearly visible and understandable for users with disabilities. I suggest the following corrected code:
```css
<button class=""app-header__action-button app-header__action-button--open-search"" type=""button"" arial-label=""Search"" aria-controls=""search-form"" accesskey=""s"" aria-label=""Search Button"">Search</button>
```
This code adds a more descriptive and meaningful aria-label to the button that will make it more accessible for users with disabilities."
8846585774,Educational Platforms,https://els-egypt.net/,3,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<a class=""btn btn-link btn-block btn-lg p-0 m-0 mt-md-0 mt-3 justify-content-end"" href=""https://els-egypt.net/news-items/"" alt=""see all news"">, <p>© Copyright 2024 Egyptian Language School. All Rights Reserved. Website designed &amp; developed by <a href=""http://www.road9media.com"" target=""_blank"">Road9 Media</a></p>",edu,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,not_scraped,data/raw_html/8846585774.txt,"You are operating on this website: https://els-egypt.net/
        Error: color-contrast
        Description: Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds
        Suggested change: Elements must meet minimum color contrast ratio thresholds
        Incorrect: <a class=""btn btn-link btn-block btn-lg p-0 m-0 mt-md-0 mt-3 justify-content-end"" href=""https://els-egypt.net/news-items/"" alt=""see all news"">, <p>© Copyright 2024 Egyptian Language School. All Rights Reserved. Website designed &amp; developed by <a href=""http://www.road9media.com"" target=""_blank"">Road9 Media</a></p>
        ","Thought: In order to meet the color contrast ratio thresholds, we need to ensure that the text color is easily distinguishable from the background color. One way to do this is by using a higher contrast color for the text or a lower contrast color for the background.
        Correct: <a class=""btn btn-link btn-block btn-lg p-0 m-0 mt-md-0 mt-3 justify-content-end"" href=""https://els-egypt.net/news-items/"" alt=""see all news""> <span>© Copyright 2024 Egyptian Language School. All Rights Reserved. Website designed &amp; developed by <a href=""http://www.road9media.com"" target=""_blank"">Road9 Media</a></span> </a>"
8846585774,Educational Platforms,https://els-egypt.net/,3,image-alt,5,Ensures <img> elements have alternate text or a role of none or presentation,https://dequeuniversity.com/rules/axe/4.4/image-alt?application=axeAPI,"<img class=""app-hero__slogan"" src=""https://els-egypt.net/wp-content/themes/els/images/backgrounds/slogan.png"">, <img class=""d-none d-sm-block"" src=""https://els-egypt.net/wp-content/uploads/2023/12/universities-e1701686473337.png"">",edu,"Images, image buttons, and image map hot spots have appropriate, equivalent alternative text.Images that do not convey content, are decorative, or contain content that is already conveyed in text are given empty alternative text (alt="""") or implemented as CSS backgrounds. All linked images have descriptive alternative text.Equivalent alternatives to complex images are provided in context or on a separate linked page.Form buttons have a descriptive value.Inputs have associated accessible names.Embedded multimedia is identified via accessible text.Frames and iframes are appropriately titled. ",not_scraped,data/raw_html/8846585774.txt,"You are operating on this website: https://els-egypt.net/
        Error: image-alt
        Description: Ensures <img> elements have alternate text or a role of none or presentation
        Suggested change: Images must have alternate text
        Incorrect: <img class=""app-hero__slogan"" src=""https://els-egypt.net/wp-content/themes/els/images/backgrounds/slogan.png"">, <img class=""d-none d-sm-block"" src=""https://els-egypt.net/wp-content/uploads/2023/12/universities-e1701686473337.png"">
        ","Thought: Because images are important for visually impaired users to understand the content of the website, it is important to have alternate text. I will replace the image tags with their corresponding alt text and set the class to ""d-none d-sm-block"" to make them visible on larger screens.
        Corrected: <img class=""app-hero__slogan"" src=""https://els-egypt.net/wp-content/themes/els/images/backgrounds/slogan.png"" alt=""Slogan of ELS-Egypt"">, <img class=""d-none d-sm-block"" src=""https://els-egypt.net/wp-content/uploads/2023/12/universities-e1701686473337.png"" alt=""Universities of Egypt"">"
4273337332,Educational Platforms,https://www.uchicago.edu/,1,nested-interactive,4,Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,https://dequeuniversity.com/rules/axe/4.4/nested-interactive?application=axeAPI,"<div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV carousel__slide carousel__slide--visible CalloutBannerList_carouselBannerContainer__3eUPC"" style=""width: 50%; padding-bottom: unset; height: unset;"">",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",not_scraped,data/raw_html/4273337332.txt,"You are operating on this website: https://www.uchicago.edu/
        Error: nested-interactive
        Description: Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies
        Suggested change: Interactive controls must not be nested
        Incorrect: <div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV carousel__slide carousel__slide--visible CalloutBannerList_carouselBannerContainer__3eUPC"" style=""width: 50%; padding-bottom: unset; height: unset;"">
        ","Incorrect: <div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV carousel__slide carousel__slide--visible CalloutBannerList_carouselBannerContainer__3eUPC"" style=""width: 50%; padding-bottom: unset; height: unset;"">

Thought: Because interactive controls must not be nested, we will remove the nested elements within this div to ensure it complies with accessibility standards.

Correct: <div tabindex=""0"" aria-selected=""true"" aria-label=""slide"" role=""option"" class=""slide___3-Nqo slideHorizontal___1NzNV"">
 <div class=""carousel__slide"">
 <div class=""CalloutBannerList_carouselBannerContainer__3eUPC"">
 </div>
 </div>
</div>"
8883634268,Educational Platforms,https://www.harvard.edu/,2,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<a class=""c-card__wrapper-link"" id=""p-6688858e48956-link"" aria-labelledby=""p-6688858e48956-title"" aria-describedby=""p-6688858e48956-link"" data-js=""target-link"" href=""https://magazine.hms.harvard.edu/articles/half-century-quest-explain-dyslexia"">
			Read more about Albert’s research	</a>, <a class=""c-card__wrapper-link"" id=""p-6688858e48992-link"" aria-labelledby=""p-6688858e48992-title"" aria-describedby=""p-6688858e48992-link"" data-js=""target-link"" href=""https://hms.harvard.edu/news/how-common-face-blindness"">
			Learn more about this debilitating condition	</a>, <span>Touch is much more than just conscious perception of what you are actively reaching out to feel, or what is touching your skin.”</span>, <p>Professor of Neurobiology David Ginty</p>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	There’s the rub</h3>, <p>, <a href=""https://news.harvard.edu/gazette/story/2016/09/from-leaf-to-itch/"">poison ivy’s molecular path</a>, <h3 class=""b-featured-stories__slide-title"">
	Taking a stance on sensory disorders</h3>, <div class=""b-featured-stories__slide-desc t-sink"">
	Harvard researcher Divya Chari's work aims to increase awareness of and ease the diagnosing of vestibular disorders.</div>, <span class=""a-btn__text"">
			Learn about Divya's research			</span>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	How does flavor work?</h3>, <p>During the Harvard Horizons talks and on the “Veritalk” podcast, Harvard alum Jess Kanwal explains that our brain’s ability to combine taste and smell is just one example of how we are able to mix and match senses—with very interesting results.</p>, <a class=""c-card__wrapper-link"" id=""p-6688858e4fdcd-link"" aria-labelledby=""p-6688858e4fdcd-title"" aria-describedby=""p-6688858e4fdcd-link"" data-js=""target-link"" href=""https://nutritionsource.hsph.harvard.edu/2016/05/31/super-tasters-non-tasters-is-it-better-to-be-average/"">, <a class=""c-card__wrapper-link"" id=""p-6688858e4fde2-link"" aria-labelledby=""p-6688858e4fde2-title"" aria-describedby=""p-6688858e4fde2-link"" data-js=""target-link"" href=""https://news.harvard.edu/gazette/story/2018/08/learning-how-to-become-a-gourmand/"">
			Learn how to think like a gourmand	</a>",edu,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,scraped,data/raw_html/8883634268.txt,"You are operating on this website: https://www.harvard.edu/
        Error: color-contrast
        Description: Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds
        Suggested change: Elements must meet minimum color contrast ratio thresholds
        Incorrect: <a class=""c-card__wrapper-link"" id=""p-6688858e48956-link"" aria-labelledby=""p-6688858e48956-title"" aria-describedby=""p-6688858e48956-link"" data-js=""target-link"" href=""https://magazine.hms.harvard.edu/articles/half-century-quest-explain-dyslexia"">
			Read more about Albert’s research	</a>, <a class=""c-card__wrapper-link"" id=""p-6688858e48992-link"" aria-labelledby=""p-6688858e48992-title"" aria-describedby=""p-6688858e48992-link"" data-js=""target-link"" href=""https://hms.harvard.edu/news/how-common-face-blindness"">
			Learn more about this debilitating condition	</a>, <span>Touch is much more than just conscious perception of what you are actively reaching out to feel, or what is touching your skin.”</span>, <p>Professor of Neurobiology David Ginty</p>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	There’s the rub</h3>, <p>, <a href=""https://news.harvard.edu/gazette/story/2016/09/from-leaf-to-itch/"">poison ivy’s molecular path</a>, <h3 class=""b-featured-stories__slide-title"">
	Taking a stance on sensory disorders</h3>, <div class=""b-featured-stories__slide-desc t-sink"">
	Harvard researcher Divya Chari's work aims to increase awareness of and ease the diagnosing of vestibular disorders.</div>, <span class=""a-btn__text"">
			Learn about Divya's research			</span>, <h3 class=""c-block__title b-media-text__title h3 c-content-block__title"">
	How does flavor work?</h3>, <p>During the Harvard Horizons talks and on the “Veritalk” podcast, Harvard alum Jess Kanwal explains that our brain’s ability to combine taste and smell is just one example of how we are able to mix and match senses—with very interesting results.</p>, <a class=""c-card__wrapper-link"" id=""p-6688858e4fdcd-link"" aria-labelledby=""p-6688858e4fdcd-title"" aria-describedby=""p-6688858e4fdcd-link"" data-js=""target-link"" href=""https://nutritionsource.hsph.harvard.edu/2016/05/31/super-tasters-non-tasters-is-it-better-to-be-average/"">, <a class=""c-card__wrapper-link"" id=""p-6688858e4fde2-link"" aria-labelledby=""p-6688858e4fde2-title"" aria-describedby=""p-6688858e4fde2-link"" data-js=""target-link"" href=""https://news.harvard.edu/gazette/story/2018/08/learning-how-to-become-a-gourmand/"">
			Learn how to think like a gourmand	</a>
        ","The color contrast of the elements on this website is not meeting the minimum thresholds required by WCAG 2 AA contrast ratio. To address this issue, I would recommend increasing the contrast ratios of all text and background elements to make them more readable. This can be achieved by changing the background color to a more distinct hue or by adjusting the font color. By doing so, users will be able to easily read and navigate the website, regardless of their visual abilities."
8883634268,Educational Platforms,https://www.harvard.edu/,2,frame-title,4,Ensures <iframe> and <frame> elements have an accessible name,https://dequeuniversity.com/rules/axe/4.4/frame-title?application=axeAPI,"<iframe src=""https://player.simplecast.com/bd320844-4937-4ed1-bf96-e0e62a736792?dark=false"" width=""100%"" height=""200px""></iframe>",edu,"Markup is used in a way that facilitates accessibility. This includes following the HTML specifications and using forms, input labels, frame titles, etc. appropriately.ARIA is used appropriately to enhance accessibility when HTML is not sufficient. ",scraped,data/raw_html/8883634268.txt,"You are operating on this website: https://www.harvard.edu/
        Error: frame-title
        Description: Ensures <iframe> and <frame> elements have an accessible name
        Suggested change: Frames must have an accessible name
        Incorrect: <iframe src=""https://player.simplecast.com/bd320844-4937-4ed1-bf96-e0e62a736792?dark=false"" width=""100%"" height=""200px""></iframe>
        ","Thought: Since the website is using `<iframe>` tags, it's important to ensure that each frame also has an accessible name to make it easier for users with screen readers to identify and use the content within the frames.
        Correct: <iframe src=""https://player.simplecast.com/bd320844-4937-4ed1-bf96-e0e62a736792?dark=false"" width=""100%"" height=""200px"" title=""Harvard Radio Podcast Player""></iframe>"
2128318591,Government and Public Services,https://www.usa.gov/,1,color-contrast,4,Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.4/color-contrast?application=axeAPI,"<h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Facing financial hardship
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Having a child and early childhood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Transitioning to adulthood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Approaching retirement
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Recovering from a disaster
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>",gov,Text and images of text have a contrast ratio of at least 4.5:1.Large text - at least 18 point (typically 24px) or 14 point (typically 18.66px) and bold - has a contrast ratio of at least 3:1. ,scraped,data/raw_html/2128318591.txt,"You are operating on this website: https://www.usa.gov/
        Error: color-contrast
        Description: Ensures the contrast between foreground and background colors meets WCAG 2 AA contrast ratio thresholds
        Suggested change: Elements must meet minimum color contrast ratio thresholds
        Incorrect: <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Facing financial hardship
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Having a child and early childhood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Transitioning to adulthood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Approaching retirement
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Recovering from a disaster
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>
        ","I suggest using the ""h3"" tag with a class of ""usagov-card__heading"" to maintain consistency in the website's structure. However, the color contrast between the foreground and background should be checked to ensure it meets minimum color contrast ratio thresholds. The suggested change is to use a color contrast checker to verify the contrast between text and background colors to make them accessible to users with visual impairments.

Here is the corrected code:

<h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Dealing with the death of a loved one
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Facing financial hardship
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Having a child and early childhood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Transitioning to adulthood
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Approaching retirement
	</h3>, <h3 class=""usa-card__heading usagov-card__heading carouselHeaders"">
		Recovering from a disaster"
